FCID,FCID Name,Marketing Sales Designation,Language Designation,Fixture Type Code,Fixture Type Name,Zone,Subzone,Fixture Instance Priority,Within 10 Feet
10877,Rainier Valley,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
10877,Rainier Valley,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
10877,Rainier Valley,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
11207,Vancouver,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
11207,Vancouver,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
11207,Vancouver,BAU,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
15044,Newark Adams Street,Community,Spanish,6,Door Sign,Exterior,Door,2,False
15601,Florida & Bearss,BAU,Spanish,46,Panel Queue,Teller,Queue Line,1,True
15601,Florida & Bearss,BAU,Spanish,46,Panel Queue,Teller,Queue Line,2,True
15601,Florida & Bearss,BAU,Spanish,46,Panel Queue,Teller,Queue Line,3,True
15601,Florida & Bearss,BAU,Spanish,46,Panel Queue,Teller,Queue Line,4,True
15601,Florida & Bearss,BAU,Spanish,2X2MF-A,Modular 2x2 (A),Office,Home Loan,1,False
16465,Highway 380 and Central,BAU,,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
8596,Mint Hill,BAU,,4C,Teller Fixture (base),Teller,Small Teller,1,True
8596,Mint Hill,BAU,,4C,Teller Fixture (base),Teller,Small Teller,2,True
8596,Mint Hill,BAU,,4C,Teller Fixture (base),Teller,Small Teller,3,True
8596,Mint Hill,BAU,,4C,Teller Fixture (base),Teller,Small Teller,4,True
8596,Mint Hill,BAU,,4C,Teller Fixture (base),Teller,Small Teller,5,True
9723,Vermont-Hollywood,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,1,False
9723,Vermont-Hollywood,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,2,False
9723,Vermont-Hollywood,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,3,False
9723,Vermont-Hollywood,Flagship,Spanish,19B,Dual Brand Fixture,Lobby & Waiting,All,4,False
